"WMS_52_IRR_000","WMS_52_IRR_000","WMS_52_IRR_000","WMS_52_IRR_001","WMS_52_IRR_001","WMS_52_IRR_001","WMS_52_IRR_002","WMS_52_IRR_002","WMS_52_IRR_002","WMS_52_IRR_003","WMS_52_IRR_003","WMS_52_IRR_003","WMS_52_PANEL_000","WMS_52_PANEL_000","WMS_52_PANEL_000","WMS_52_PANEL_001","WMS_52_PANEL_001","WMS_52_PANEL_001","WMS_52_PANEL_002","WMS_52_PANEL_002","WMS_52_PANEL_002","WMS_52_PANEL_003","WMS_52_PANEL_003","WMS_52_PANEL_003","WMS_52_WATER_000","WMS_52_WATER_000","WMS_52_WATER_000","WMS_52_WATER_001","WMS_52_WATER_001","WMS_52_WATER_001","WMS_52_WATER_002","WMS_52_WATER_002","WMS_52_WATER_002","WMS_52_WATER_003","WMS_52_WATER_003","WMS_52_WATER_003"
286.9,1026.08,761.62,286.9,1026.08,867.4,286.9,1026.08,846.25,286.9,1026.08,973.19,286.9,266.66,65.25,286.9,266.66,16.55,286.9,266.66,2.19,286.9,266.66,3.55,286.9,4224,8,286.9,4224,8,286.9,4224,8,286.9,4224,352
288.76,7166.52,5503.57,288.76,7166.52,6216.26,288.76,7166.52,6335.05,288.76,7166.52,6651.8,288.76,2044.82,897.33,288.76,2044.82,429.63,288.76,2044.82,135.96,288.76,2044.82,274.64,288.76,2544,52,288.76,2544,48,288.76,2544,51,288.76,2544,1156
290.62,8000.66,5892.96,290.62,8000.66,6882.28,290.62,8000.66,7054.34,290.62,8000.66,7183.38,290.62,2147.51,960.73,290.62,2147.51,443.63,290.62,2147.51,144.82,290.62,2147.51,286.81,290.62,2608,56,290.62,2608,55,290.62,2608,51,290.62,2608,1164
292.47,8196.46,6136.39,292.47,8196.46,6925.35,292.47,8196.46,6925.35,292.47,8196.46,7363.67,292.47,2321.61,1006.03,292.47,2321.61,467.3,292.47,2321.61,151.05,292.47,2321.61,303.59,292.47,2608,53,292.47,2608,52,292.47,2608,52,292.47,2608,1172
294.32,8871.76,6630.47,294.32,8871.76,7424.26,294.32,8871.76,7751.11,294.32,8871.76,8031.28,294.32,2461.53,1090.47,294.32,2461.53,510.16,294.32,2461.53,161.02,294.32,2461.53,323.63,294.32,2608,53,294.32,2608,54,294.32,2608,56,294.32,2608,1180
296.16,9227.81,6776.68,296.16,9227.81,7737.91,296.16,9227.81,7641.78,296.16,9227.81,8122.4,296.16,2602.79,1114.53,296.16,2602.79,533.91,296.16,2602.79,171.85,296.16,2602.79,345.37,296.16,2688,54,296.16,2688,53,296.16,2688,56,296.16,2688,1184
298,9823.04,7496.53,298,9823.04,8375.44,298,9823.04,8375.44,298,9823.04,9099.24,298,2744.01,1215.61,298,2744.01,575.82,298,2744.01,183.05,298,2744.01,367.88,298,2704,58,298,2704,52,298,2704,54,298,2704,1192
299.84,10714.39,7938.64,299.84,10714.39,8993.43,299.84,10714.39,9159.97,299.84,10714.39,9493.06,299.84,2936.21,1263.59,299.84,2936.21,587.97,299.84,2936.21,191.73,299.84,2936.21,381.63,299.84,2704,58,299.84,2704,52,299.84,2704,53,299.84,2704,1212
301.68,11007.43,8198.24,301.68,11007.43,9516.84,301.68,11007.43,9516.84,301.68,11007.43,10032.81,301.68,3043.78,1321.03,301.68,3043.78,633.48,301.68,3043.78,201.82,301.68,3043.78,403.65,301.68,2736,58,301.68,2736,56,301.68,2736,54,301.68,2736,1204
303.51,11525.09,8498.3,303.51,11525.09,9604.24,303.51,11525.09,9662.45,303.51,11525.09,10360.94,303.51,3206.94,1425.31,303.51,3206.94,672.16,303.51,3206.94,214.61,303.51,3206.94,427.19,303.51,2720,57,303.51,2720,55,303.51,2720,55,303.51,2720,1216
