,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,4272.0,160.0,198.0,178.0,760.0,0.010681263765032482,0.013484357847016145,0.012009045172287902,0.01205822226144551
1,288.76,4160.0,132.0,166.0,152.0,732.0,0.008890211480794321,0.011465766954098743,0.010405244112149863,0.01025374084901431
2,290.62,4240.0,142.0,148.0,154.0,744.0,0.009447857831218546,0.00989379196422131,0.010339726097224073,0.00989379196422131
3,292.47,4208.0,130.0,178.0,172.0,704.0,0.008680964160256837,0.012275566297009148,0.011826241029915108,0.01092759049572703
4,294.32,4208.0,142.0,178.0,152.0,716.0,0.009561641683761153,0.012257593286325388,0.010310517128917885,0.010709917366334809
5,296.16,4336.0,130.0,168.0,162.0,748.0,0.008360743914556606,0.011122463914149366,0.010686402861582088,0.010056536896762688
6,298.0,4368.0,148.0,172.0,166.0,736.0,0.009615407100336508,0.011346872964742842,0.010914006498641259,0.010625428854573536
7,299.84,4464.0,134.0,160.0,172.0,752.0,0.008397733561787522,0.01023314943776664,0.011080264457449307,0.009903715819001157
8,301.68,4464.0,136.0,174.0,158.0,736.0,0.008561509132259506,0.01124404002792129,0.010114553335011064,0.009973367498397287
9,303.51,4480.0,164.0,160.0,174.0,756.0,0.010472338414395608,0.010190975211429578,0.011175746421810682,0.010613020015878624
10,305.33,4576.0,154.0,170.0,178.0,780.0,0.009530932553618502,0.010632774467331622,0.011183695424188183,0.010449134148379438
11,307.16,4640.0,142.0,170.0,162.0,780.0,0.00858448834428768,0.010486115509161531,0.009942793462054718,0.00967113243850131
12,308.98,4560.0,154.0,174.0,172.0,792.0,0.009547788801842323,0.010929923833956152,0.010791710330744768,0.010423140988847746
13,310.8,4496.0,158.0,178.0,162.0,828.0,0.009913597152761789,0.011315406704905707,0.010193959063190572,0.010474320973619356
14,312.61,4752.0,150.0,174.0,188.0,804.0,0.008880845824527759,0.010472395255446713,0.011400799090149436,0.010251346723374636
15,314.42,4624.0,160.0,184.0,180.0,832.0,0.009770020811088917,0.011405626973659606,0.011133025946564491,0.01076955791043767
16,316.23,4784.0,146.0,188.0,182.0,900.0,0.008431485948413453,0.011198067275236617,0.010802841371404736,0.010144131531684935
17,318.04,4896.0,160.0,182.0,176.0,912.0,0.009124259266903597,0.010540270157647667,0.01015408536926292,0.009939538264604727
18,319.84,4832.0,164.0,202.0,188.0,940.0,0.009469455612406362,0.011947687797471388,0.011034654887184272,0.010817266099020673
19,321.64,4896.0,158.0,204.0,196.0,968.0,0.00892344317694353,0.011884193221226582,0.011369280170046922,0.010725638856072346
20,323.43,5232.0,174.0,200.0,228.0,1008.0,0.009265883975842739,0.010831881007641434,0.012518339349578491,0.010872034777687556
21,325.23,5136.0,174.0,220.0,196.0,1068.0,0.00936545031480196,0.012187847553277393,0.010715292472333689,0.01075619678013768
22,327.02,5328.0,178.0,228.0,204.0,1144.0,0.009174637246505503,0.012131908148550856,0.010712418115569087,0.010672987836875147
