,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,1608.0,5.0,10.0,5.0,78.0,0.0006741518335743269,0.001654023684699802,0.0006741518335743269,0.0010007757839494852
1,288.76,1984.0,37.0,31.0,36.0,504.0,0.00427581306184827,0.0033228086647052683,0.00411697899565777,0.0039052002407371027
2,290.62,2016.0,35.0,35.0,31.0,510.0,0.0038765596853097355,0.0038765596853097355,0.003251308123163004,0.003668142497927492
3,292.47,2040.0,33.0,33.0,39.0,512.0,0.003515826313454727,0.003515826313454727,0.004442669805578118,0.003824774144162524
4,294.32,2040.0,36.0,35.0,34.0,518.0,0.003960711189673955,0.0038062372743200563,0.003651763358966158,0.0038062372743200563
5,296.16,2040.0,37.0,36.0,36.0,514.0,0.004127543018256165,0.003973069102902267,0.003973069102902267,0.004024560408020232
6,298.0,2064.0,37.0,32.0,36.0,518.0,0.004067334115434506,0.003303945580255357,0.003914656408398677,0.0037619787013628467
7,299.84,2064.0,35.0,33.0,38.0,524.0,0.003743657376518547,0.0034383019624468873,0.004201690497626037,0.00379454994553049
8,301.68,2080.0,36.0,34.0,37.0,536.0,0.0038300024920668104,0.003526995965795702,0.003981505755202365,0.003779501404354959
9,303.51,2088.0,35.0,31.0,37.0,538.0,0.003658368450519222,0.0030546772870672055,0.003960214032245231,0.0035577532566105526
10,305.33,2128.0,36.0,35.0,40.0,538.0,0.003737688022559252,0.0035896021262613416,0.004330031607750893,0.003885773918857162
11,307.16,2120.0,38.0,36.0,42.0,550.0,0.0040134071970248705,0.003716117775023028,0.004607986041028554,0.004112503671025484
12,308.98,2152.0,36.0,35.0,41.0,554.0,0.0036491447676872974,0.003502710386961483,0.004381316671316369,0.0038443906086550496
13,310.8,2152.0,40.0,35.0,38.0,576.0,0.004170451163071197,0.0034382792594421243,0.0038775824016195675,0.0038287709413776295
14,312.61,2216.0,41.0,37.0,39.0,580.0,0.004180833730715438,0.0036120128149718413,0.0038964232728436396,0.0038964232728436396
15,314.42,2192.0,39.0,37.0,40.0,598.0,0.0038873304421467164,0.003599806001159533,0.004031092662640308,0.003839409701982186
16,316.23,2248.0,36.0,38.0,42.0,612.0,0.003330699495893949,0.0036110614063227324,0.0041717852271803,0.0037045153764656605
17,318.04,2288.0,41.0,38.0,45.0,644.0,0.003872974326701622,0.003459783609059201,0.004423895283558183,0.0039188844064396685
18,319.84,2312.0,44.0,37.0,42.0,658.0,0.004203507837806671,0.003249404242973769,0.0039309068107115566,0.003794606297163999
19,321.64,2352.0,41.0,40.0,46.0,692.0,0.0036389640916939785,0.0035049816140911073,0.0043088764797083335,0.003817607395164473
20,323.43,2416.0,43.0,41.0,43.0,728.0,0.003709522281223649,0.0034486557354273303,0.003709522281223649,0.003622566765958209
21,325.23,2456.0,45.0,44.0,45.0,758.0,0.0038287391423807294,0.0037004301898880773,0.0038287391423807294,0.0037859694915498457
22,327.02,2528.0,45.0,46.0,48.0,814.0,0.0035800796407778807,0.0037047342243704253,0.0039540433915555145,0.003746285752234607
23,328.81,2576.0,45.0,45.0,49.0,858.0,0.003405718074162719,0.003405718074162719,0.003895045383668857,0.0035688271773314313
24,330.59,2656.0,49.0,50.0,50.0,918.0,0.0036353481790454187,0.0037539953128262744,0.0037539953128262744,0.003714446268232656
25,332.37,2728.0,52.0,49.0,55.0,976.0,0.0037519494326308752,0.003405402379124329,0.004098496486137422,0.0037519494326308752
26,334.15,2840.0,53.0,48.0,52.0,1062.0,0.0035240939314595842,0.002969293249554738,0.003413133795078615,0.0033021736586976457
27,335.93,2952.0,54.0,52.0,58.0,1146.0,0.003317798289283974,0.003104297755868017,0.003744799356115888,0.0033889651337559597
28,337.71,3072.0,58.0,55.0,61.0,1248.0,0.003389254249061627,0.0030815132458175327,0.0036969952523057217,0.003389254249061627
29,339.48,3192.0,60.0,56.0,59.0,1348.0,0.003261838675788634,0.00286694295232754,0.0031631147449233607,0.003097298791013178
30,341.25,3344.0,59.0,58.0,64.0,1462.0,0.00280447762879824,0.0027102411493359338,0.0032756600261097724,0.0029301262680813153
31,343.02,3520.0,65.0,59.0,68.0,1600.0,0.0029543136311433074,0.0024171656982081603,0.0032228875976108807,0.0028647889756541166
32,344.78,3688.0,66.0,64.0,70.0,1734.0,0.002676185189512896,0.0025052921378198633,0.003017971292898962,0.0027331495400772406
33,346.54,3888.0,73.0,68.0,70.0,1886.0,0.0028594838108843865,0.0024542281687522454,0.0026163304256051016,0.0026433474684139113
34,348.3,4112.0,74.0,72.0,80.0,2048.0,0.0025320498670032394,0.0023787780832863364,0.0029918652181539487,0.002634231056147842
35,350.06,4336.0,78.0,75.0,82.0,2210.0,0.002456477262795665,0.002238446736512026,0.00274718463117385,0.0024807028768271803
36,351.82,4568.0,80.0,77.0,88.0,2394.0,0.0022158214555125046,0.002008864283453429,0.00276770724767004,0.0023307976622119913
37,353.57,4864.0,85.0,82.0,90.0,2576.0,0.0021690881660236384,0.001974725427132631,0.0024930260641753167,0.0022122798857771952
38,355.32,5144.0,91.0,83.0,95.0,2768.0,0.0021833434487080862,0.0016932551324997617,0.0024283876068122486,0.0021016620626733654
39,357.07,5456.0,94.0,87.0,99.0,2980.0,0.0019868697734375324,0.0015825648776798948,0.0022756589846929876,0.0019483645452701382
40,358.82,5792.0,100.0,95.0,104.0,3220.0,0.0019368980712468086,0.001664861825285178,0.002154527068016113,0.0019187623215160333
41,360.57,6192.0,104.0,98.0,110.0,3480.0,0.0017507043740108484,0.0014453489599391886,0.002056059788082508,0.0017507043740108482
42,362.31,6592.0,111.0,103.0,116.0,3738.0,0.0017324324594277256,0.0013499970379205013,0.0019714545978697408,0.0016846280317393226
43,364.05,7000.0,118.0,113.0,125.0,3990.0,0.0017196918965283708,0.0014946013341555473,0.0020348186838503235,0.0017497039715114139
44,365.79,7336.0,120.0,115.0,126.0,4220.0,0.0015292412252810137,0.0013144601543145793,0.0017869785104407353,0.0015435599633454426
45,367.53,7704.0,125.0,117.0,134.0,4412.0,0.0015036423548747387,0.0011764078924428043,0.0018717811251106648,0.0015172771241427358
46,369.27,8000.0,131.0,122.0,136.0,4580.0,0.001551999427560617,0.00119748179182342,0.0017489536696368374,0.0014994782963402913
47,371.0,8336.0,131.0,127.0,142.0,4758.0,0.0013548637305204878,0.0012036512605963262,0.0017706980228119323,0.0014430710046429154
48,372.73,8720.0,140.0,134.0,146.0,4962.0,0.0014730009003718796,0.0012561705421228297,0.0016898312586209297,0.0014730009003718796
49,374.46,9232.0,143.0,138.0,155.0,5232.0,0.001309387300874145,0.0011387163805307997,0.0017189975096981737,0.0013890337303677062
50,376.19,9824.0,153.0,144.0,160.0,5538.0,0.0013549425383224028,0.0010662473952139362,0.0015794832051845434,0.0013335577129069609
51,377.92,10408.0,158.0,152.0,171.0,5872.0,0.0012280498168503462,0.0010463856427600584,0.0016216555273793033,0.001298696995663236
52,379.64,10936.0,168.0,159.0,178.0,6144.0,0.0013001573375975228,0.001040817443129932,0.0015883127758948461,0.0013097625188741005
53,381.37,11480.0,171.0,163.0,181.0,6382.0,0.0011902349737177589,0.0009706344250613458,0.0014647356595382751,0.0012085350194391265
54,383.09,12160.0,183.0,173.0,196.0,6698.0,0.0012708731620286646,0.0010117228435073218,0.00160776857610641,0.0012967881938807987
55,384.81,13192.0,190.0,183.0,209.0,7208.0,0.0010950130329622737,0.0009277990008781568,0.001548879691476305,0.001190563908438912
56,386.53,14352.0,209.0,199.0,223.0,7784.0,0.0011707469551286594,0.0009511770085553923,0.001478144880331233,0.001200022948005095
57,388.25,15672.0,226.0,218.0,241.0,8462.0,0.0011413091148796603,0.0009804480697944368,0.0014429235744144542,0.0011882269196961837
58,389.96,17224.0,246.0,234.0,264.0,9246.0,0.0011175072091050204,0.0008979576591826194,0.0014468315339886218,0.001154098800758754
59,391.68,18704.0,268.0,254.0,287.0,9970.0,0.0011557793846388986,0.0009199060408350417,0.0014758932083727043,0.0011838595446155482
60,393.39,20656.0,291.0,278.0,314.0,10906.0,0.0011118532271506543,0.0009135259500793246,0.0014627399481230068,0.0011627063751176619
61,395.1,23184.0,324.0,307.0,349.0,12194.0,0.0010890251121564378,0.0008579538826674284,0.0014288357437579225,0.001125271579527263
62,396.81,26072.0,363.0,347.0,389.0,13632.0,0.0010921623390001403,0.0008987736999562907,0.0014064188774463957,0.0011324516388009423
63,398.52,29624.0,409.0,388.0,437.0,15418.0,0.0010705630527977762,0.0008471744984580176,0.0013684144585841209,0.0010953840032799716
64,400.23,32392.0,444.0,422.0,477.0,16762.0,0.0010580757405882803,0.0008440479151658625,0.0013791174787219072,0.00109374704482535
65,401.93,34352.0,470.0,446.0,501.0,17564.0,0.001089073480171816,0.0008689103777112063,0.0013734508208501036,0.0011104782262443753
66,403.64,35680.0,485.0,462.0,518.0,17966.0,0.0011100093786609593,0.0009068727164298798,0.0014014663288185948,0.001139449474636478
67,405.34,36848.0,499.0,478.0,533.0,18272.0,0.00114221487501954,0.0009626213412114363,0.0014329853583278985,0.0011792738581862916
68,407.04,38480.0,522.0,498.0,558.0,18756.0,0.0012028540156405515,0.0010063092418430757,0.001497671176336765,0.0012356114779401308
69,408.74,40336.0,546.0,521.0,581.0,19418.0,0.0012315694851604679,0.0010362558773895233,0.0015050085360397902,0.0012576112995299272
70,410.44,42552.0,576.0,548.0,615.0,20204.0,0.0012731856851943533,0.0010658264530780093,0.0015620074727849757,0.0013003398703524463
71,412.14,44960.0,610.0,579.0,647.0,21166.0,0.001308449035971133,0.0010911685553888256,0.0015677838031177577,0.0013224671314925722
72,413.84,47224.0,642.0,611.0,677.0,21992.0,0.0013490181120829653,0.0011421544324501402,0.0015825738794103487,0.0013579154746478181
73,415.53,49456.0,668.0,637.0,709.0,22802.0,0.001350579784874658,0.0011530520752543788,0.001611826110501479,0.0013718193235435052
74,417.23,51376.0,695.0,659.0,739.0,23462.0,0.0013847520925296646,0.0011639376199434317,0.001654636447912838,0.0014011087201286447
