"WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_003","WMS_53_WATER_003","WMS_53_WATER_003"
321.64,18658.29,18005.25,321.64,18658.29,17072.33,321.64,18658.29,16232.71,321.64,18658.29,17258.92,321.64,3702.05,1527.42,321.64,3702.05,728.11,321.64,3702.05,233,321.64,3702.05,1407.69,321.64,2352,41,321.64,2352,40,321.64,2352,46,321.64,2352,692
323.43,20880.12,19743.08,323.43,20880.12,19019.51,323.43,20880.12,18295.95,323.43,20880.12,19329.61,323.43,4022.52,1609.01,323.43,4022.52,783.7,323.43,4022.52,249.67,323.43,4022.52,1577.8,323.43,2416,43,323.43,2416,41,323.43,2416,43,323.43,2416,728
325.23,21765.57,20924.39,325.23,21765.57,19872.91,325.23,21765.57,19347.17,325.23,21765.57,20608.95,325.23,4196.27,1687.01,325.23,4196.27,800.98,325.23,4196.27,262.27,325.23,4196.27,1690.56,325.23,2456,45,325.23,2456,44,325.23,2456,45,325.23,2456,758
327.02,23301.76,22326.34,327.02,23301.76,21242.54,327.02,23301.76,20375.49,327.02,23301.76,21784.44,327.02,4612.23,1817.85,327.02,4612.23,856.34,327.02,4612.23,274.18,327.02,4612.23,1877.94,327.02,2528,45,327.02,2528,46,327.02,2528,48,327.02,2528,814
328.81,25197.36,23715.16,328.81,25197.36,22803.04,328.81,25197.36,22004.93,328.81,25197.36,23259.1,328.81,4756.77,1854.08,328.81,4756.77,870.05,328.81,4756.77,286.85,328.81,4756.77,2009.85,328.81,2576,45,328.81,2576,45,328.81,2576,49,328.81,2576,858
330.59,25761.6,24726.54,330.59,25761.6,23576.47,330.59,25761.6,23001.43,330.59,25761.6,24496.52,330.59,5120.5,1952.19,330.59,5120.5,936.09,330.59,5120.5,310.03,330.59,5120.5,2228.22,330.59,2656,49,330.59,2656,50,330.59,2656,50,330.59,2656,918
332.37,27962.34,26422.04,332.37,27962.34,25000.23,332.37,27962.34,24526.29,332.37,27962.34,25948.1,332.37,5711.4,2084.58,332.37,5711.4,1008.39,332.37,5711.4,328.36,332.37,5711.4,2533.69,332.37,2728,52,332.37,2728,49,332.37,2728,55,332.37,2728,976
334.15,30244.16,29227.55,334.15,30244.16,28210.94,334.15,30244.16,27194.33,334.15,30244.16,28846.32,334.15,6271.25,2234.58,334.15,6271.25,1076.74,334.15,6271.25,362.67,334.15,6271.25,2860.81,334.15,2840,53,334.15,2840,48,334.15,2840,52,334.15,2840,1062
335.93,32122.24,30965.84,335.93,32122.24,29295.48,335.93,32122.24,28910.02,335.93,32122.24,30323.39,335.93,6439.42,2235.17,335.93,6439.42,1064.37,335.93,6439.42,365.88,335.93,6439.42,3037.88,335.93,2952,54,335.93,2952,52,335.93,2952,58,335.93,2952,1146
337.71,35458.89,33578.5,337.71,35458.89,31966.73,337.71,35458.89,31160.85,337.71,35458.89,32906.93,337.71,7188.96,2370.83,337.71,7188.96,1166.29,337.71,7188.96,391.95,337.71,7188.96,3508.44,337.71,3072,58,337.71,3072,55,337.71,3072,61,337.71,3072,1248
339.48,40060.32,38318.57,339.48,40060.32,36721.96,339.48,40060.32,35415.65,339.48,40060.32,37302.55,339.48,7601.95,2475.95,339.48,7601.95,1184.78,339.48,7601.95,420.72,339.48,7601.95,3829.99,339.48,3192,60,339.48,3192,56,339.48,3192,59,339.48,3192,1348
341.25,41861.53,40397.84,341.25,41861.53,38348.68,341.25,41861.53,37470.46,341.25,41861.53,40105.1,341.25,8112.54,2469.03,341.25,8112.54,1234.52,341.25,8112.54,436,341.25,8112.54,4208.13,341.25,3344,59,341.25,3344,58,341.25,3344,64,341.25,3344,1462
343.02,44780.05,42423.21,343.02,44780.05,40360.97,343.02,44780.05,39624.46,343.02,44780.05,41392.09,343.02,8768.6,2671.36,343.02,8768.6,1294.9,343.02,8768.6,471.57,343.02,8768.6,4715.67,343.02,3520,65,343.02,3520,59,343.02,3520,68,343.02,3520,1600
344.78,48910.21,46750.14,344.78,48910.21,44898.65,344.78,48910.21,44127.19,344.78,48910.21,46595.85,344.78,9481.25,2670.48,344.78,9481.25,1335.24,344.78,9481.25,494.25,344.78,9481.25,5180.53,344.78,3688,66,344.78,3688,64,344.78,3688,70,344.78,3688,1734
346.54,50435.26,48308.47,346.54,50435.26,46637.42,346.54,50435.26,44966.37,346.54,50435.26,47700.82,346.54,10001.91,2756.27,346.54,10001.91,1378.13,346.54,10001.91,516.8,346.54,10001.91,5658.7,346.54,3888,73,346.54,3888,68,346.54,3888,70,346.54,3888,1886
348.3,54377.84,51766.47,348.3,54377.84,49923.16,348.3,54377.84,48387.06,348.3,54377.84,50844.81,348.3,10639.47,2790,348.3,10639.47,1400.2,348.3,10639.47,546.55,348.3,10639.47,6100.52,348.3,4112,74,348.3,4112,72,348.3,4112,80,348.3,4112,2048
350.06,59839.36,57237.65,350.06,59839.36,55448.98,350.06,59839.36,54148.12,350.06,59839.36,56749.83,350.06,11637.14,2871.5,350.06,11637.14,1500.52,350.06,11637.14,591.03,350.06,11637.14,6833.31,350.06,4336,78,350.06,4336,75,350.06,4336,82,350.06,4336,2210
