,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
47,371.0,75495.98,81594.54,74129.06,71184.93,70659.19,0.08159454,0.07412906,0.07118493,0.07065919,0.07439193
48,372.73,82959.14,89918.43,79866.12,78651.01,77435.89,0.08991843,0.07986612,0.07865101,0.07743589,0.08146786249999999
49,374.46,87213.61,94279.02,85005.67,82356.14,79817.01,0.09427902,0.08500566999999999,0.08235614,0.07981701,0.08536446
50,376.19,91247.12,98970.58,89371.42,87054.39,86392.37,0.09897058,0.08937142,0.08705439,0.08639237,0.09044719
51,377.92,98858.47,105784.15,96512.68,92603.02,91597.68,0.10578415,0.09651267999999999,0.09260302000000001,0.09159767999999999,0.0966243825
52,379.64,103685.95,110946.23,101303.66,97219.75,98240.73,0.11094622999999999,0.10130366,0.09721975,0.09824073,0.1019275925
53,381.37,103755.29,112566.78,101772.7,98137.96,95824.95,0.11256678,0.1017727,0.09813796000000001,0.09582494999999999,0.1020755975
54,383.09,111223.97,119771.12,107560.9,103786.84,103231.83,0.11977112,0.1075609,0.10378683999999999,0.10323183,0.10858767250000001
55,384.81,119121.05,127495.88,114933.63,111737.97,110636.01,0.12749588,0.11493363000000001,0.11173797,0.11063600999999999,0.11620087250000001
56,386.53,128844.94,138874.79,125758.84,120688.81,119586.62,0.13887479,0.12575883999999998,0.12068881,0.11958661999999999,0.12622726499999998
57,388.25,138967.19,149042.04,136557.99,131301.54,130754.0,0.14904204000000001,0.13655799,0.13130154,0.130754,0.1369138925
58,389.96,151237.75,162954.87,147766.01,143426.33,140605.54,0.16295487,0.14776601,0.14342633,0.14060554,0.14868818749999999
59,391.68,164320.09,177539.99,161260.94,155251.89,153503.81,0.17753998999999998,0.16126094,0.15525189,0.15350381,0.1618891575
60,393.39,176709.27,189704.16,172022.58,166377.26,163075.28,0.18970416,0.17202257999999998,0.16637726,0.16307528,0.17279482000000002
61,395.1,197024.87,211242.06,191295.55,186521.12,184186.95,0.21124206,0.19129554999999998,0.18652111999999998,0.18418695000000002,0.19331142
62,396.81,212441.47,224884.03,205710.24,198877.03,196531.3,0.22488403,0.20571024,0.19887703,0.1965313,0.20650065
63,398.52,235003.45,252747.17,228954.46,220788.31,218671.17,0.25274717,0.22895446,0.22078831,0.21867117000000003,0.2302902775
64,400.23,246573.61,263420.86,239464.66,231479.26,229531.6,0.26342086,0.23946466,0.23147926000000002,0.2295316,0.240974095
65,401.93,260128.42,277970.81,252035.96,244528.51,241993.53,0.27797081,0.25203596,0.24452851,0.24199353,0.2541322025
66,403.64,264883.01,282170.51,256623.42,248844.04,246058.84,0.28217051,0.25662342,0.24884404000000002,0.24605884,0.2584242025
67,405.34,268835.71,288024.75,260895.41,253049.64,250497.41,0.28802475,0.26089541,0.25304964,0.25049741,0.26311680249999997
68,407.04,278028.19,297867.2,269660.08,261574.04,258941.37,0.2978672,0.26966008,0.26157404,0.25894137,0.2720106725
69,408.74,288457.29,307712.46,278644.56,271053.58,267628.38,0.30771246,0.27864456,0.27105358,0.26762838,0.281259745
70,410.44,295749.16,315314.8,287053.32,278629.22,276002.36,0.3153148,0.28705332,0.27862921999999996,0.27600236,0.289249925
71,412.14,305757.68,326401.42,296720.51,287949.14,284316.55,0.32640142,0.29672051,0.28794914,0.28431655,0.298846905
72,413.84,312757.13,333676.76,302815.98,293825.73,291318.83,0.33367676,0.30281598,0.29382573,0.29131883000000003,0.305409325
73,415.53,318192.02,339146.74,308429.98,299172.87,296227.43,0.33914674,0.30842998,0.29917287,0.29622743,0.310744255
74,417.23,321357.11,342300.96,311294.25,302294.94,299104.28,0.34230096000000004,0.31129425,0.30229494,0.29910428000000006,0.3137486075
75,418.92,322841.64,344020.69,311974.49,302852.43,299996.83,0.34402069,0.31197449,0.30285243,0.29999683,0.31471111
76,420.61,322743.94,343113.15,311942.09,302837.67,299674.27,0.34311315000000003,0.31194209,0.30283767,0.29967427,0.31439179500000003
77,422.3,319453.9,339007.66,307858.06,299521.19,295807.49,0.33900766,0.30785806,0.29952119,0.29580749,0.3105486
78,423.99,316418.17,337492.85,306290.4,297875.42,294598.79,0.33749284999999996,0.3062904,0.29787542,0.29459879,0.309064365
79,425.68,316095.5,336312.62,305249.08,296616.22,293886.17,0.33631262,0.30524908,0.29661622,0.29388617,0.3080160225
80,427.37,313615.06,334600.45,302758.03,294305.58,290953.75,0.33460045,0.30275803,0.29430558,0.29095375,0.3056544525
81,429.06,314346.34,334774.49,303514.33,294645.17,291955.34,0.33477449,0.30351433,0.29464516999999996,0.29195534,0.30622233249999997
82,430.74,329978.93,350082.84,317902.12,308934.91,305825.31,0.35008284,0.31790212,0.30893490999999995,0.30582531,0.320686295
83,432.43,349750.08,371332.53,337815.41,328239.09,324951.7,0.37133253000000005,0.33781541,0.32823909,0.3249517,0.3405846825
84,434.11,362705.46,385511.35,349149.02,340323.21,337145.92,0.38551135,0.34914902000000003,0.34032321000000004,0.33714592,0.353032375
85,435.79,375747.18,398354.23,361989.37,351895.7,348024.16,0.39835423,0.36198937,0.35189570000000003,0.34802415999999997,0.365065865
86,437.47,380429.33,402934.74,365628.47,355963.98,352179.29,0.40293474,0.36562847,0.35596397999999996,0.35217929,0.36917661999999996
87,439.15,390238.19,413460.39,375304.93,366095.0,361687.38,0.41346039,0.37530493,0.366095,0.36168738,0.379136925
88,440.83,406087.88,430171.85,390160.35,380590.98,376416.43,0.43017184999999997,0.39016035,0.38059097999999997,0.37641642999999997,0.3943349025
89,442.51,416389.72,440853.86,400038.68,389616.46,385809.54,0.44085386,0.40003868,0.38961646,0.38580954,0.404079635
90,444.19,422088.02,447002.3,405842.21,394930.84,390687.53,0.44700229999999996,0.40584221000000004,0.39493084,0.39068753,0.40961572
91,445.86,430359.24,455611.73,413820.64,403269.13,399060.39,0.45561173,0.41382064,0.40326913000000003,0.39906039,0.4179404725
92,447.54,438906.69,464278.35,421065.42,410928.34,406236.32,0.46427834999999995,0.42106541999999997,0.41092834,0.40623632,0.4256271075
93,449.21,441645.24,468828.66,425153.21,414575.56,409571.08,0.46882865999999995,0.42515321,0.41457556,0.40957108000000003,0.4295321275
94,450.89,441585.77,468232.21,424705.92,414036.05,409914.89,0.46823221000000004,0.42470591999999996,0.41403605,0.40991489000000003,0.42922226750000003
95,452.56,438030.29,463730.47,421685.87,411033.83,406130.5,0.46373046999999995,0.42168587,0.41103383,0.4061305,0.4256451675
96,454.23,440610.97,466269.49,423113.99,412604.62,408523.85,0.46626949,0.42311399,0.41260462,0.40852384999999997,0.4276279875
97,455.9,450155.57,476664.98,431884.81,421404.35,416472.36,0.47666497999999996,0.43188481,0.42140435,0.41647236,0.43660662499999997
98,457.57,451934.67,478309.58,433461.1,422777.59,418771.28,0.47830958,0.4334611,0.42277759000000004,0.41877128,0.4383298875
99,459.24,454221.59,479904.29,434959.57,424368.2,420032.87,0.47990428999999996,0.43495957,0.42436820000000003,0.42003287,0.4398162325
100,460.91,458724.84,484993.28,439699.13,429375.53,424889.35,0.48499328,0.43969913,0.42937553,0.42488935,0.4447393225
101,462.58,459224.57,485253.49,439888.8,429530.35,424590.16,0.48525349,0.43988879999999997,0.42953034999999995,0.42459016,0.4448157
102,464.24,455482.79,482160.11,436938.17,426837.05,422123.2,0.48216011,0.43693816999999996,0.42683705,0.42212320000000003,0.44201463249999995
103,465.91,456517.63,482797.1,437235.95,426261.0,422837.63,0.4827971,0.43723595,0.426261,0.42283763,0.44228292
104,467.57,460780.49,486525.69,440545.16,430598.15,425917.21,0.48652569,0.44054516,0.43059815,0.42591721000000005,0.44589655250000004
105,469.24,464006.54,490249.65,444288.75,433413.22,429346.72,0.49024965000000004,0.44428875,0.43341322,0.42934671999999996,0.44932458500000005
106,470.9,469679.08,495701.1,448513.29,438709.22,433211.61,0.49570109999999995,0.44851328999999995,0.43870921999999996,0.43321160999999997,0.454033805
107,472.56,472990.1,499443.88,452086.69,441612.6,437718.39,0.49944388,0.45208669,0.44161259999999997,0.43771839,0.45771539000000006
108,474.22,474327.26,500695.84,453881.74,443439.61,438043.05,0.50069584,0.45388174,0.44343961,0.43804305,0.45901506000000003
109,475.88,472714.84,498796.85,451512.41,441321.43,436614.57,0.49879684999999996,0.45151241,0.44132143,0.43661457,0.45706131499999997
110,477.54,476029.74,502193.73,454814.53,444701.8,439322.69,0.50219373,0.45481453000000005,0.4447018,0.43932269,0.4602581875
111,479.2,474310.86,500346.71,453248.64,442998.65,438414.26,0.50034671,0.45324864000000004,0.44299865000000005,0.43841426,0.45875206500000004
112,480.86,467213.33,492845.32,446277.6,436490.05,431881.55,0.49284532000000003,0.4462776,0.43649004999999996,0.43188155,0.45187362999999997
113,482.52,449624.2,473692.11,429745.89,419628.45,415795.41,0.47369211,0.42974589,0.41962845,0.41579541,0.434715465
114,484.17,433597.32,457678.48,414786.74,405199.71,401019.59,0.45767848,0.41478674,0.40519971000000005,0.40101959000000004,0.41967113
115,485.83,427997.04,451302.9,409029.31,399660.81,395322.69,0.4513029,0.40902931,0.39966081,0.39532269,0.4138289275
116,487.49,447872.92,472178.27,427447.07,417584.7,413191.04,0.47217827,0.42744707,0.41758470000000003,0.41319103999999995,0.43260027
117,489.14,457606.75,483071.03,436503.75,426983.95,422669.56,0.48307103,0.43650375,0.42698395,0.42266956,0.4423070725
118,490.79,460302.81,485012.67,438996.38,429019.19,424683.31,0.48501267,0.43899638,0.42901919,0.42468331,0.4444278875
119,492.45,466732.1,491393.63,445239.37,435411.5,430727.18,0.49139363,0.44523936999999997,0.4354115,0.43072718,0.45069292000000005
120,494.1,472439.12,498239.52,451036.0,440805.57,436318.55,0.49823952,0.451036,0.44080557,0.43631854999999997,0.45659991
121,495.75,472087.02,496798.37,450077.79,440053.79,435303.28,0.49679837,0.45007779,0.44005379,0.43530328,0.4555583075
122,497.4,463999.19,488963.04,442024.27,432341.84,428216.28,0.48896303999999996,0.44202427,0.43234184000000003,0.42821628,0.4478863575
123,499.05,457889.41,481380.28,435656.25,426487.1,422227.1,0.48138028000000005,0.43565625,0.42648709999999995,0.42222709999999997,0.4414376825
124,500.7,453909.33,477492.59,432594.45,422973.41,418280.23,0.47749259000000005,0.43259445,0.42297341,0.41828023,0.43783517
