,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,4800.0,93.0,109.0,88.0,610.0,0.005304634253252872,0.0063550568776593805,0.004976377183125837,0.005545356104679364
1,288.76,4896.0,82.0,99.0,83.0,588.0,0.004520936589357426,0.005615126823114207,0.004585300720754883,0.004907121377742172
2,290.62,5120.0,77.0,80.0,89.0,602.0,0.003998171114147275,0.0041828157160937315,0.004736749521933102,0.0043059121173913695
3,292.47,4896.0,87.0,95.0,87.0,602.0,0.0048247352895534265,0.005339648340733087,0.0048247352895534265,0.00499637297327998
4,294.32,5280.0,86.0,95.0,83.0,582.0,0.004438035588117502,0.004975183521052648,0.004258986277139119,0.004557401795436423
5,296.16,4800.0,84.0,96.0,85.0,616.0,0.004705893357341162,0.005493710325646044,0.004771544771366569,0.004990382818117925
6,298.0,5216.0,94.0,93.0,85.0,612.0,0.0049395640589422665,0.004879148647262444,0.004395825353823866,0.004738179353342858
7,299.84,5088.0,92.0,97.0,97.0,610.0,0.004942436640780626,0.005252113122032546,0.005252113122032546,0.005148887628281906
8,301.68,5184.0,99.0,96.0,94.0,604.0,0.005283723062118852,0.00510135802315939,0.004979781330519747,0.005121620805265997
9,303.51,5088.0,86.0,92.0,89.0,628.0,0.004548528156628186,0.004920139934130489,0.004734334045379337,0.004734334045379337
10,305.33,5184.0,86.0,94.0,92.0,616.0,0.004478885356844421,0.00496519212740299,0.004843615434763348,0.00476256430633692
11,307.16,5120.0,96.0,97.0,85.0,668.0,0.005086343301618394,0.005147891502267212,0.004409313094481385,0.004881182632788997
12,308.98,5216.0,87.0,102.0,90.0,654.0,0.004465907231372459,0.005372138406569793,0.004647153466411927,0.004828399701451393
13,310.8,5376.0,98.0,102.0,90.0,696.0,0.004928545438621612,0.005163014774426636,0.004459606767011563,0.004850388993353271
14,312.61,5568.0,94.0,103.0,98.0,642.0,0.004593335139915532,0.005102699559078171,0.004819719326210038,0.004838584675067914
15,314.42,5312.0,93.0,117.0,102.0,704.0,0.004681815898992566,0.006105581504362834,0.0052157280010064165,0.005334375134787271
16,316.23,5280.0,92.0,111.0,102.0,726.0,0.00462424687153502,0.005758225841064774,0.005221077908129627,0.00520118354024314
17,318.04,5728.0,100.0,110.0,101.0,758.0,0.004667485446297917,0.005217636960477304,0.004722500597715856,0.004869207668163692
18,319.84,5632.0,103.0,107.0,99.0,792.0,0.004876855607773686,0.005100667246496664,0.0046530439690507085,0.004876855607773686
19,321.64,6336.0,96.0,121.0,100.0,806.0,0.003972905266931437,0.005216303259836869,0.004171848945796306,0.004453685824188204
20,323.43,5632.0,112.0,121.0,111.0,872.0,0.005290907139411195,0.005794483326537895,0.005234954229730451,0.005440114898559847
21,325.23,6208.0,102.0,125.0,115.0,924.0,0.0042395923448984366,0.00540710460462861,0.004899490578658969,0.004848729176062006
22,327.02,5824.0,119.0,124.0,111.0,984.0,0.005374037176651158,0.005644578717964648,0.004941170710549575,0.00531992886838846
23,328.81,6304.0,116.0,119.0,120.0,1044.0,0.004754895306164998,0.004904860465106283,0.004954848851420045,0.004871534874230443
24,330.59,6592.0,126.0,130.0,116.0,1118.0,0.00495445088562609,0.005145668596379702,0.00447640660874206,0.0048588420302492835
25,332.37,6752.0,129.0,135.0,126.0,1220.0,0.004881851592694944,0.0051618813207654,0.004741836728659716,0.00492852321404002
26,334.15,7072.0,130.0,151.0,140.0,1318.0,0.0046181759386378935,0.005553931387416317,0.005063773771389523,0.005078627032481245
27,335.93,7296.0,138.0,160.0,137.0,1420.0,0.00473381248498986,0.005684030319568117,0.0046906207652363035,0.00503615452326476
28,337.71,7680.0,154.0,166.0,157.0,1534.0,0.005060082736008231,0.005552468341198782,0.0051831791373058685,0.005265243404837627
29,339.48,7744.0,154.0,176.0,157.0,1690.0,0.004891301631727625,0.005786548186619536,0.005013380707394703,0.005230410175247288
30,341.25,8384.0,168.0,169.0,160.0,1826.0,0.0049418976618666914,0.0049794843492858175,0.004641204162513683,0.004854195391222064
31,343.02,8704.0,173.0,186.0,178.0,1984.0,0.004826827123823844,0.005297489834667753,0.005007851243379194,0.0050440560672902635
32,344.78,9312.0,178.0,197.0,182.0,2176.0,0.004550928947493149,0.0051939067137213605,0.00468629268775172,0.004810376116322077
33,346.54,9728.0,193.0,223.0,188.0,2366.0,0.004719127300273651,0.005690940994728686,0.004557158351197812,0.004989075548733383
34,348.3,10464.0,198.0,222.0,204.0,2564.0,0.0044185208558750865,0.005141288716705253,0.004599212821082628,0.004719674131220989
35,350.06,10816.0,213.0,235.0,209.0,2774.0,0.004589383463290864,0.005230358807325901,0.00447284249164813,0.004764194920754965
36,351.82,11840.0,222.0,255.0,223.0,2998.0,0.00431276559270686,0.005191075050614329,0.0043393810308252675,0.004614407224715486
37,353.57,12160.0,241.0,266.0,230.0,3230.0,0.004571411618716486,0.005219287415019843,0.004286346268343009,0.0046923484340264466
38,355.32,12928.0,240.0,288.0,249.0,3434.0,0.0041760149446161,0.005346040145068895,0.004395394669700999,0.0046391499197953314
39,357.07,13952.0,272.0,308.0,267.0,3726.0,0.004460381161148168,0.005273495004582106,0.004347448682893455,0.004693774949541243
40,358.82,14496.0,283.0,323.0,271.0,4006.0,0.004410383734263092,0.005279938886917487,0.004149517188466773,0.004613279936549117
41,360.57,16032.0,303.0,339.0,297.0,4314.0,0.004259872589097655,0.004967492620509225,0.004141935917195726,0.004456433708934202
42,362.31,16608.0,318.0,359.0,304.0,4626.0,0.0042783470619794026,0.005056297343783356,0.004012705502339028,0.004449116636033929
43,364.05,18016.0,345.0,381.0,331.0,4928.0,0.004310604211124669,0.0049402980579047705,0.004065723270710185,0.004438875179913209
44,365.79,18624.0,348.0,395.0,339.0,5190.0,0.004131978171392873,0.004927240145411976,0.003979693963601981,0.004346304093468943
45,367.53,19168.0,359.0,409.0,362.0,5402.0,0.004125846126164298,0.004947858822642681,0.004175166887953001,0.004416290612253327
46,369.27,20352.0,377.0,431.0,367.0,5580.0,0.004109406906212964,0.004945533405593145,0.003954568665587005,0.004336502992464371
47,371.0,20768.0,381.0,439.0,379.0,5770.0,0.004030126864055791,0.004910199748525805,0.003999779523211997,0.004313368711931197
48,372.73,22176.0,404.0,460.0,395.0,5976.0,0.0040425355545341424,0.004838310269993619,0.003914643189549583,0.004265163004692448
