WMS_48_IRR_000,WMS_48_IRR_000,WMS_48_IRR_000,WMS_48_IRR_001,WMS_48_IRR_001,WMS_48_IRR_001,WMS_48_IRR_002,WMS_48_IRR_002,WMS_48_IRR_002,WMS_48_IRR_003,WMS_48_IRR_003,WMS_48_IRR_003,WMS_48_PANEL_000,WMS_48_PANEL_000,WMS_48_PANEL_000,WMS_48_PANEL_001,WMS_48_PANEL_001,WMS_48_PANEL_001,WMS_48_PANEL_002,WMS_48_PANEL_002,WMS_48_PANEL_002,WMS_48_PANEL_003,WMS_48_PANEL_003,WMS_48_PANEL_003,WMS_48_WATER_000,WMS_48_WATER_000,WMS_48_WATER_000,WMS_48_WATER_001,WMS_48_WATER_001,WMS_48_WATER_001,WMS_48_WATER_002,WMS_48_WATER_002,WMS_48_WATER_002,WMS_48_WATER_003,WMS_48_WATER_003,WMS_48_WATER_003
286.9,846.25,877.98,286.9,846.25,909.72,286.9,846.25,899.14,286.9,846.25,909.72,286.9,206.14,43.97,286.9,206.14,12.06,286.9,206.14,1.6,286.9,206.14,19.38,286.9,3232,1,286.9,3232,6,286.9,3232,4,286.9,3232,236
288.76,6176.67,6057.89,288.76,6176.67,6572.61,288.76,6176.67,6770.58,288.76,6176.67,6651.8,288.76,1685.89,625.41,288.76,1685.89,290.95,288.76,1685.89,100.61,288.76,1685.89,693.39,288.76,2304,19,288.76,2304,38,288.76,2304,37,288.76,2304,928
290.62,6667.21,6796.26,290.62,6667.21,7097.36,290.62,6667.21,7269.41,290.62,6667.21,7226.4,290.62,1751.92,644.25,290.62,1751.92,296.7,290.62,1751.92,104.55,290.62,1751.92,720.55,290.62,2304,21,290.62,2304,36,290.62,2304,39,290.62,2304,928
292.47,6837.69,7013.02,292.47,6837.69,7363.67,292.47,6837.69,7451.33,292.47,6837.69,7363.67,292.47,1881.1,702.43,292.47,1881.1,315.5,292.47,1881.1,113.1,292.47,1881.1,761.96,292.47,2304,21,292.47,2304,37,292.47,2304,35,292.47,2304,924
294.32,7424.26,7424.26,294.32,7424.26,7797.81,294.32,7424.26,8124.66,294.32,7424.26,7984.58,294.32,2053.4,746.11,294.32,2053.4,341.17,294.32,2053.4,121.96,294.32,2053.4,819.45,294.32,2272,22,294.32,2272,37,294.32,2272,36,294.32,2272,936
296.16,7689.85,7641.78,296.16,7689.85,8266.58,296.16,7689.85,8314.65,296.16,7689.85,8170.46,296.16,2148.97,780.84,296.16,2148.97,357.05,296.16,2148.97,126.8,296.16,2148.97,864.26,296.16,2320,21,296.16,2320,37,296.16,2320,38,296.16,2320,940
298,8220.34,8633.94,298,8220.34,8737.34,298,8220.34,8944.14,298,8220.34,8944.14,298,2303.27,831.73,298,2303.27,383.88,298,2303.27,134.18,298,2303.27,931.26,298,2352,23,298,2352,35,298,2352,38,298,2352,948
299.84,8993.43,9048.94,299.84,8993.43,9548.58,299.84,8993.43,9604.09,299.84,8993.43,9493.06,299.84,2351.89,883.78,299.84,2351.89,405.37,299.84,2351.89,140.6,299.84,2351.89,964.13,299.84,2400,21,299.84,2400,37,299.84,2400,37,299.84,2400,948
301.68,9402.18,9631.5,301.68,9402.18,9975.48,301.68,9402.18,9975.48,301.68,9402.18,9918.15,301.68,2549.36,911.59,301.68,2549.36,413.31,301.68,2549.36,147.75,301.68,2549.36,1023.61,301.68,2432,24,301.68,2432,39,301.68,2432,41,301.68,2432,964
303.51,9487.83,9604.24,303.51,9487.83,10244.52,303.51,9487.83,10477.35,303.51,9487.83,10360.94,303.51,2640.06,988,303.51,2640.06,449.46,303.51,2640.06,157.92,303.51,2640.06,1081.13,303.51,2400,20,303.51,2400,38,303.51,2400,41,303.51,2400,964
