,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,3232.0,1.0,6.0,4.0,236.0,-0.0003627078121403664,0.00012480268804829816,-7.020151202716767e-05,-0.0001027022120397453
1,288.76,2304.0,19.0,38.0,37.0,928.0,6.0180462856623095e-05,0.0026588822680289766,0.002522108488809379,0.0017470570732316594
2,290.62,2304.0,21.0,36.0,39.0,928.0,0.0003337280212958182,0.0023853347095897813,0.002795656047248574,0.0018382395927113912
3,292.47,2304.0,21.0,37.0,35.0,924.0,0.0003446699236333858,0.0025330503911469467,0.0022595028327077513,0.0017124077158293613
4,294.32,2272.0,22.0,37.0,36.0,936.0,0.00045493655916197423,0.0025354391163051482,0.0023967389458289367,0.001795704873765353
5,296.16,2320.0,21.0,37.0,38.0,940.0,0.0002988271259087482,0.0024721153143360086,0.0026079458261127125,0.0017929627554524898
6,298.0,2352.0,23.0,35.0,38.0,948.0,0.000541289209515599,0.002149078940750052,0.002551026373558665,0.0017471315079414386
7,299.84,2400.0,21.0,37.0,37.0,948.0,0.00026785776922365974,0.0023687030180366783,0.0023687030180366783,0.0016684212684323386
8,301.68,2432.0,24.0,39.0,41.0,964.0,0.0006115947517103687,0.002555222140620439,0.0028143724591417818,0.0019937297838241966
9,303.51,2400.0,20.0,38.0,41.0,964.0,9.453803619658568e-05,0.0024579889411112314,0.0028518974252636723,0.0018014748008571633
10,305.33,2448.0,22.0,39.0,41.0,996.0,0.0002677547866134237,0.002456135254126984,0.002713591779716815,0.0018124939401524074
11,307.16,2464.0,23.0,39.0,38.0,1000.0,0.00038367709495367623,0.002429954934706616,0.0023020625697220574,0.00170523153312745
12,308.98,2416.0,22.0,42.0,40.0,1020.0,0.00020869323663705454,0.0028173586946002396,0.002556492148803921,0.001860848026680405
13,310.8,2448.0,22.0,40.0,41.0,1020.0,0.00020596522047186425,0.00252307395078034,0.0026518022135752555,0.0017936137949424865
14,312.61,2560.0,29.0,41.0,44.0,1044.0,0.000999542778536819,0.0024766995941084722,0.0028459887980013857,0.0021074103902155587
15,314.42,2544.0,22.0,39.0,42.0,1064.0,8.918682660055251e-05,0.0021949868991136016,0.002566598676615904,0.0016169241341100194
16,316.23,2576.0,24.0,43.0,44.0,1100.0,0.00024466365475306887,0.0025689683749072234,0.0026913002022837577,0.0018349774106480165
17,318.04,2560.0,24.0,40.0,44.0,1128.0,0.00017725881786859857,0.0021468012386308033,0.0026391868438213543,0.001654415633440252
18,319.84,2704.0,26.0,45.0,47.0,1172.0,0.00029834488740539887,0.0025126233486173445,0.002745705291902813,0.0018522245093085187
19,321.64,2704.0,25.0,48.0,47.0,1212.0,8.85711384484776e-05,0.0027690134862313593,0.0026524725145886255,0.0018366857130894872
20,323.43,2800.0,28.0,46.0,44.0,1248.0,0.0003421376548066914,0.002367952716162102,0.0021428621537892783,0.0016176508415860237
21,325.23,2784.0,27.0,46.0,53.0,1316.0,7.69706233401321e-05,0.002227620393137942,0.0030199650451687137,0.0017748520205489293
22,327.02,2912.0,28.0,49.0,50.0,1388.0,2.597198796609484e-05,0.002298520934999408,0.0024067375515248036,0.001577076824830102
23,328.81,2944.0,33.0,49.0,53.0,1464.0,0.00039819009811061954,0.002110835681382102,0.0025389970771999724,0.0016826742855642312
24,330.59,3056.0,31.0,53.0,57.0,1556.0,-1.2374088507406623e-05,0.002256208804517122,0.0026686784214306728,0.0016375043791467961
25,332.37,3136.0,35.0,55.0,53.0,1644.0,0.00021303213938856475,0.002222769303431631,0.002021795587027324,0.0014858656766158398
26,334.15,3280.0,38.0,60.0,59.0,1768.0,0.0002536386336981572,0.0023672939145161333,0.0022712186744789525,0.001630717074231081
27,335.93,3424.0,40.0,63.0,61.0,1892.0,0.0001987949359273998,0.002315592864783975,0.002131523479666012,0.001548637093459129
28,337.71,3584.0,40.0,66.0,64.0,2044.0,-7.737488081565827e-05,0.0022087011432833296,0.0020328491414295614,0.0013880584679657442
29,339.48,3760.0,41.0,63.0,67.0,2176.0,-0.0002112019957583303,0.0016326249513382018,0.0019678662144466622,0.0011297630566755113
30,341.25,3968.0,46.0,73.0,72.0,2360.0,-9.530043971430045e-05,0.0020489594538574546,0.0019695424207622045,0.0013077338116351195
31,343.02,4112.0,48.0,73.0,75.0,2544.0,-0.0002207113685523407,0.0016951859279089483,0.0018484577116258513,0.0011076440903274862
32,344.78,4320.0,52.0,77.0,82.0,2752.0,-0.00022175588737470743,0.0016018945022199266,0.0019666245801388533,0.0011155877316613575
33,346.54,4544.0,58.0,81.0,84.0,2984.0,-0.00011650814320001772,0.0014785438172764157,0.001686594072990733,0.0010162099156890436
34,348.3,4832.0,59.0,86.0,90.0,3216.0,-0.0003469525059091041,0.0014138966782160458,0.0016747632240123643,0.0009139024654397686
35,350.06,5120.0,65.0,93.0,95.0,3472.0,-0.00027327401088075577,0.0014500756072861733,0.001573172008583811,0.0009166578683297428
36,351.82,5392.0,71.0,102.0,96.0,3748.0,-0.00023143584528837827,0.001580309408231751,0.0012296490365826937,0.0008595075331753556
37,353.57,5808.0,70.0,104.0,104.0,4004.0,-0.0005469142589885129,0.0012978362177584557,0.0012978362177584557,0.0006829193921761329
38,355.32,6096.0,76.0,112.0,109.0,4312.0,-0.000529346834346587,0.001331638130153134,0.0011765560497781571,0.0006596157818615679
39,357.07,6528.0,83.0,116.0,117.0,4640.0,-0.00047307636577131375,0.0011199358863157637,0.001168208984863857,0.0006050228351361023
40,358.82,6912.0,85.0,122.0,125.0,5004.0,-0.000687516196877177,0.0009993604134978596,0.001136134192717457,0.0004826594697793799
41,360.57,7392.0,98.0,130.0,130.0,5388.0,-0.00041607649408309804,0.000948108732418862,0.000948108732418862,0.0004933803235848753
42,362.31,7776.0,100.0,140.0,140.0,5788.0,-0.0006386828920002543,0.0009823396765283093,0.0009823396765283093,0.00044199882035212144
43,364.05,8320.0,106.0,145.0,148.0,6168.0,-0.0006575241620083053,0.0008196326535633482,0.000933260100915014,0.00036512286415668567
44,365.79,8704.0,111.0,154.0,155.0,6516.0,-0.000699477197961871,0.0008573302302141364,0.0008935350541252064,0.0003504626954591573
45,367.53,9120.0,115.0,158.0,156.0,6808.0,-0.0007311494319882149,0.0007546457275341502,0.0006855389759284588,0.0002363450904914647
46,369.27,9520.0,121.0,165.0,162.0,7068.0,-0.0006739476249868658,0.0007825207197784621,0.0006832160599080988,0.0002639297182332317
47,371.0,9936.0,124.0,170.0,172.0,7352.0,-0.0007307287821958321,0.0007281915294798749,0.0007916228473788187,0.00026302853155428713
48,372.73,10400.0,128.0,175.0,178.0,7708.0,-0.0007926650727252196,0.0006314656007489902,0.0007223675586303227,0.00018705602888469773
49,374.46,11008.0,137.0,184.0,185.0,8136.0,-0.0007362882421802893,0.000609184051072961,0.0006378111211421791,0.00017023564334495028
50,376.19,11696.0,142.0,197.0,196.0,8640.0,-0.0008298482429476871,0.0006520236194588965,0.0006250804946878677,0.00014908529039969233
51,377.92,12400.0,152.0,204.0,202.0,9148.0,-0.0007868004302812628,0.0005346990004237003,0.00048387209924274016,7.72568897950592e-05
52,379.64,13056.0,156.0,217.0,217.0,9596.0,-0.0008669848499237552,0.0006053446557930891,0.0006053446557930891,0.00011456815388747432
53,381.37,13632.0,165.0,219.0,224.0,9980.0,-0.0007998376497461534,0.000448463884539751,0.0005640473599365939,7.089119824339714e-05
54,383.09,14512.0,175.0,235.0,235.0,10568.0,-0.000789554161178763,0.0005133404942317364,0.0005133404942317364,7.904227576156996e-05
55,384.81,15728.0,190.0,251.0,250.0,11412.0,-0.0007661780485243817,0.0004560201983372102,0.0004359841615034136,4.19421037720807e-05
56,386.53,17200.0,201.0,270.0,274.0,12348.0,-0.0008420480898440088,0.00042212332441266215,0.0004954086237898605,2.5161286119504606e-05
57,388.25,18752.0,222.0,296.0,296.0,13480.0,-0.0007999165463163908,0.00044365119375530855,0.00044365119375530855,2.9128613731408765e-05
58,389.96,20592.0,237.0,319.0,319.0,14716.0,-0.0008771885901949462,0.0003776869226449979,0.0003776869226449979,-4.060491496831681e-05
59,391.68,22368.0,262.0,347.0,347.0,15892.0,-0.0007866899054031586,0.00041081442767829633,0.00041081442767829633,1.164631665114468e-05
60,393.39,24720.0,284.0,380.0,381.0,17500.0,-0.0008413579273158933,0.0003824354215072242,0.00039518326889079837,-2.124641230595691e-05
61,395.1,27728.0,316.0,420.0,428.0,19560.0,-0.0008546427584611528,0.0003273099926021438,0.00041822943499162816,-3.63677769557936e-05
62,396.81,31232.0,355.0,472.0,477.0,21956.0,-0.0008487597768161714,0.0003317548913660926,0.0003822042361602065,-4.493354976329079e-05
63,398.52,35296.0,400.0,530.0,534.0,24756.0,-0.0008492424073567584,0.00031141269100718805,0.00034712515557223255,-6.356818692577927e-05
64,400.23,38432.0,432.0,575.0,581.0,26772.0,-0.0008481659783665386,0.00032437592908140183,0.00037357349163166505,-5.00721858844906e-05
65,401.93,40592.0,452.0,600.0,604.0,28052.0,-0.0008465073139925531,0.00030245712539572555,0.0003335102183521655,-7.017999008155402e-05
66,403.64,42080.0,464.0,620.0,624.0,28768.0,-0.0008339476957265367,0.000334297998717965,0.0003642530165242343,-4.5132226828112494e-05
