,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,5440.0,128.0,152.0,140.0,718.0,0.006582905902806381,0.007973171140991466,0.007278038521898923,0.007278038521898924
1,288.76,5408.0,122.0,134.0,127.0,696.0,0.0062978741075733445,0.006997119937429749,0.00658922653668018,0.006628073527227757
2,290.62,5568.0,137.0,127.0,133.0,706.0,0.006954522202967233,0.006388561737230967,0.006728138016672726,0.006690407318956975
3,292.47,5312.0,132.0,129.0,135.0,694.0,0.007007299721097338,0.006829329020426054,0.0071852704217686214,0.007007299721097337
4,294.32,5472.0,128.0,135.0,133.0,712.0,0.006551320052219543,0.00695444276991941,0.006839264850576591,0.006781675890905181
5,296.16,5664.0,138.0,136.0,139.0,704.0,0.006894511208498655,0.006783237625404745,0.00695014800004561,0.0068759656113163365
6,298.0,5664.0,135.0,133.0,142.0,728.0,0.006700895173915251,0.006589621590821342,0.007090352714743936,0.006793623159826842
7,299.84,5760.0,132.0,146.0,142.0,728.0,0.006425085052619814,0.00719101821624956,0.006972180169498204,0.006862761146122527
8,301.68,5760.0,136.0,136.0,136.0,732.0,0.006639546338436143,0.006639546338436143,0.006639546338436143,0.006639546338436143
9,303.51,5536.0,133.0,126.0,141.0,728.0,0.006741982783672702,0.00634352044421214,0.007197368314484772,0.0067609571807898715
10,305.33,5696.0,136.0,137.0,142.0,744.0,0.006700870168615681,0.00675619439391799,0.007032815520429536,0.006829960027654403
11,307.16,5856.0,139.0,135.0,146.0,770.0,0.006651241617655969,0.00643599107986775,0.007027930058785352,0.0067050542521030244
12,308.98,5824.0,145.0,137.0,142.0,762.0,0.007021094080167683,0.0065882276140661,0.00685876915537959,0.006822696949871125
13,310.8,6144.0,145.0,143.0,150.0,780.0,0.006636947636630972,0.006534367302216273,0.006893398472667717,0.006688237803838321
14,312.61,5696.0,144.0,147.0,159.0,800.0,0.007081500838695567,0.007247473514602495,0.007911364218230204,0.007413446190509422
15,314.42,5952.0,153.0,148.0,144.0,812.0,0.007240715630737611,0.006975992187086776,0.006764213432166109,0.006993640416663499
16,316.23,5952.0,145.0,149.0,166.0,850.0,0.006776920157461349,0.006988698912382017,0.007888758620794852,0.007218125896879406
17,318.04,6144.0,162.0,154.0,159.0,872.0,0.0074145065714943835,0.007004185233835591,0.007260636069872336,0.0072264426250674375
18,319.84,6208.0,155.0,173.0,172.0,900.0,0.006954312155784074,0.007868017402529426,0.007817255999932462,0.00754652851941532
19,321.64,6528.0,166.0,163.0,171.0,942.0,0.0071038691823374035,0.006959049886693124,0.0073452346750778694,0.007136051248036133
20,323.43,6592.0,173.0,168.0,178.0,978.0,0.0073351113845085605,0.0070960892460665455,0.0075741335229505755,0.00733511138450856
21,325.23,6720.0,175.0,181.0,195.0,1060.0,0.00721227676936255,0.0074936399723285795,0.008150154112582648,0.007618690284757926
22,327.02,6496.0,176.0,177.0,193.0,1096.0,0.007474559019483756,0.007523069916546865,0.0082992442695566,0.007765624401862407
23,328.81,7040.0,196.0,190.0,217.0,1206.0,0.007693748892741085,0.007425174926273512,0.008633757775377593,0.007917560531464064
24,330.59,7328.0,203.0,204.0,210.0,1244.0,0.007659713886160784,0.007702716995784413,0.007960735653526186,0.007774388845157128
25,332.37,7552.0,214.0,212.0,224.0,1346.0,0.0078063982219532466,0.007722943034632814,0.008223674158555409,0.007917671805047157
26,334.15,7360.0,235.0,222.0,243.0,1474.0,0.008799573006848877,0.008242963192285646,0.009142102123503174,0.008728212774212566
27,335.93,8000.0,241.0,245.0,255.0,1598.0,0.008234262952722626,0.0083918263463836,0.008785734830536043,0.00847060804321409
28,337.71,8032.0,261.0,248.0,271.0,1712.0,0.008896682058407122,0.008386641192472687,0.009289021186048995,0.008857448145642934
