Wavelength,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
305,0.002504214,0.002608223,0.002568005,0.002568005,0.00370821,0.003719904,0.003776434,0.003505141,0.003307421,0.003598459,0.003628985,0.004240611,0.006806959,0.004620937,0.010199514,0.006689702,0.006892702,0.004753154,0.006173445,0.010658952,0.010503763,0.010376078
306,0.002546156,0.002511912,0.002580497,0.002580497,0.003745258,0.003742339,0.003961351,0.00368576,0.003326246,0.00369442,0.003711834,0.004269531,0.006788325,0.004548841,0.010267203,0.00675539,0.006665528,0.004802104,0.006176345,0.010531519,0.0101898,0.010455034
307,0.00255894,0.00243896,0.002663937,0.002663937,0.003786075,0.003720664,0.004036927,0.003971651,0.003409589,0.003619451,0.003723759,0.004228764,0.00674669,0.004448257,0.010248328,0.006718101,0.006363254,0.004841643,0.006210388,0.010321168,0.009930466,0.010191611
308,0.002541028,0.002526467,0.002601446,0.002601446,0.003778666,0.003657722,0.003978447,0.003855205,0.00334505,0.003542628,0.003650363,0.004194459,0.006763876,0.004286896,0.010482366,0.006509408,0.006246698,0.004854791,0.006299818,0.010357136,0.010047137,0.010135834
309,0.002394608,0.002653763,0.002451382,0.002451382,0.003730839,0.003659212,0.003839184,0.003640774,0.003402847,0.003500604,0.003683014,0.004113137,0.006777877,0.00434692,0.010662638,0.006458247,0.006679889,0.004835729,0.006366149,0.010556609,0.010440201,0.010250807
310,0.002278883,0.002620601,0.00244725,0.00244725,0.003731239,0.00370197,0.003833977,0.003828682,0.003608526,0.003460433,0.003800986,0.004025352,0.006733058,0.004467721,0.010589997,0.00657849,0.006927362,0.004843059,0.006377092,0.010509763,0.010457261,0.010158135
311,0.002382623,0.002612073,0.002426453,0.002426453,0.003788453,0.003740485,0.003851322,0.003831916,0.003692493,0.003431285,0.003807201,0.00407607,0.006929974,0.004469548,0.010660802,0.00666351,0.007012796,0.004846454,0.00649657,0.010340144,0.010399996,0.010138862
312,0.002602087,0.002636709,0.002409789,0.002409789,0.003845267,0.003736243,0.003873872,0.003647242,0.003570782,0.003442309,0.003695443,0.004214572,0.00717171,0.004350573,0.010804247,0.006628286,0.006850758,0.004842519,0.006605104,0.010217371,0.010325671,0.010212261
313,0.002649613,0.002567827,0.002478103,0.002478103,0.003820628,0.003686598,0.003877419,0.003570637,0.003543995,0.003474042,0.003611238,0.00434331,0.007273511,0.004294738,0.010728827,0.006643554,0.006694467,0.005003848,0.006555306,0.010266028,0.010424084,0.010119357
314,0.002477674,0.00247431,0.002563083,0.002563083,0.003739175,0.003641194,0.003858414,0.003678705,0.003638919,0.003494751,0.003638791,0.004333544,0.007133576,0.004357878,0.010509962,0.006694046,0.006700213,0.005169112,0.006396973,0.010437458,0.010596821,0.009953053
315,0.002377688,0.002463907,0.002593112,0.002593112,0.003676035,0.003552278,0.003794445,0.003758816,0.00374507,0.003591596,0.003684972,0.004228437,0.007068469,0.004416359,0.010464101,0.006755954,0.006765313,0.005289978,0.00613981,0.010799749,0.010561082,0.009755757
316,0.002449642,0.00254702,0.002538161,0.002538161,0.003694347,0.003508765,0.00374948,0.003730858,0.003756297,0.003667732,0.003703601,0.004133094,0.007143297,0.004411701,0.010637104,0.00676737,0.006824666,0.005245581,0.006040981,0.010990611,0.010352607,0.009724764
