Wavelength,WMS_04,WMS_05,WMS_06,WMS_07,WMS_09,WMS_13,WMS_14,WMS_15,WMS_16,WMS_17,WMS_18,WMS_19,WMS_20,WMS_22,WMS_23,WMS_24,WMS_25,WMS_26,WMS_27,WMS_29,WMS_30,WMS_31,WMS_32,WMS_33,WMS_34,WMS_35,WMS_36,WMS_37,WMS_38,WMS_39,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
580,0.01902364,0.018329249,0.015948668,0.016381837,0.014939933,0.009351551,0.008656724,0.007898471,0.008559411,0.018502937,0.010583506,0.009811293,0.008952276,0.007115464,0.008071782,0.007627809,0.008071782,0.010421085,0.005565161,0.017993613,0.015430068,0.010734892,0.022897022,0.017379907,0.021020181,0.015968276,0.019934549,0.00660045,0.011028536,0.015968276,0.007442134,0.006969798,0.004785125,0.004785125,0.008132802,0.009828328,0.008743153,0.006347794,0.006614118,0.006306829,0.006574275,0.008348954,0.009240172,0.008553143,0.014606286,0.011033146,0.012336663,0.009264631,0.011000108,0.015549665,0.01653405,0.014830571
581,0.019056943,0.018364551,0.015976887,0.016404613,0.014961827,0.00934776,0.008650774,0.007895473,0.0085505,0.018396057,0.010577363,0.009804784,0.008948283,0.007105179,0.008060145,0.007617187,0.008060145,0.01038236,0.005604108,0.017998788,0.015389584,0.010697331,0.022824725,0.017322476,0.02086929,0.01594916,0.019867797,0.00657098,0.010908768,0.01594916,0.007397375,0.006947947,0.004776823,0.004776823,0.008075094,0.009749863,0.008683188,0.006321272,0.006586806,0.006283847,0.006540682,0.008311702,0.009200621,0.008514757,0.014579319,0.010996714,0.012310587,0.009220201,0.010964754,0.015527535,0.016520061,0.014797443
582,0.019088293,0.018393487,0.015996529,0.016418837,0.014973225,0.009342234,0.008638552,0.007888195,0.008536319,0.018304076,0.010564547,0.009791663,0.008942122,0.007093574,0.008040827,0.007601559,0.008040827,0.010333264,0.00563196,0.018006554,0.015349937,0.010650204,0.022734908,0.017253988,0.020713202,0.015916922,0.019791685,0.006537108,0.010788901,0.015916922,0.007371471,0.006935603,0.004771909,0.004771909,0.008042901,0.009706852,0.008651543,0.006305004,0.006572208,0.006269833,0.006522361,0.008289757,0.009178285,0.008492954,0.014563143,0.010976164,0.012296128,0.009195846,0.010945636,0.01551484,0.016507827,0.014781742
583,0.019114373,0.018408789,0.016002515,0.016421079,0.014971486,0.009330346,0.008620174,0.007876711,0.008514914,0.018252633,0.010545191,0.009774219,0.008927877,0.007075618,0.008018613,0.007580124,0.008018613,0.010282615,0.005656535,0.018025536,0.015314542,0.010598006,0.022648703,0.017191078,0.020571047,0.015881743,0.019704602,0.006496832,0.010689815,0.015881743,0.007304642,0.006905421,0.004754566,0.004754566,0.007956401,0.009592687,0.008561146,0.006264552,0.006533333,0.006234993,0.006471079,0.008231436,0.009118127,0.008437942,0.014507901,0.010921925,0.012254656,0.009132961,0.010895468,0.015474797,0.016478922,0.014729833
584,0.019136433,0.018420084,0.016004589,0.016419664,0.014966537,0.009316832,0.008599813,0.007863557,0.008491041,0.018225445,0.010522679,0.009754327,0.008910869,0.00705531,0.007994494,0.007556106,0.007994494,0.010236386,0.005679148,0.018047597,0.015285355,0.010542817,0.022560953,0.017128988,0.020446873,0.01584423,0.019612971,0.006454252,0.01060657,0.01584423,0.007233806,0.006874988,0.004733677,0.004733677,0.007861876,0.009472622,0.008460426,0.006220278,0.006488121,0.006197734,0.006417086,0.008166916,0.009045933,0.008377944,0.014429728,0.010859413,0.012201673,0.009065434,0.010837524,0.015406641,0.016435294,0.014654329
585,0.019146132,0.018430594,0.016006375,0.016416893,0.014963996,0.009304135,0.008578244,0.007848046,0.008465071,0.018260855,0.010493768,0.009728437,0.00889151,0.00703227,0.00796506,0.007527471,0.00796506,0.01021387,0.005696699,0.018069242,0.015280625,0.010480012,0.022460685,0.017063211,0.020391305,0.015799374,0.019514245,0.006409239,0.01057205,0.015799374,0.007203895,0.006862391,0.004725218,0.004725218,0.007821659,0.00942371,0.008418458,0.006200188,0.006467188,0.0061813,0.006396055,0.008138772,0.00901156,0.008351154,0.014390621,0.010830588,0.012175701,0.009036437,0.01081063,0.015365833,0.016408337,0.014615033
586,0.019155764,0.01843681,0.016004962,0.016408095,0.014952791,0.009293208,0.008552931,0.007828325,0.008435324,0.018284284,0.010459746,0.009700435,0.008870234,0.007010399,0.007935216,0.007496321,0.007935216,0.010189831,0.005711711,0.018071325,0.015274318,0.010418946,0.022374394,0.017006479,0.020383059,0.01575341,0.019416982,0.006361678,0.010550876,0.01575341,0.00715477,0.006841939,0.004706212,0.004706212,0.007739968,0.009333006,0.008333472,0.006163974,0.006428809,0.006148494,0.006355056,0.008084049,0.008926054,0.00829388,0.014296587,0.010772103,0.012122544,0.00897561,0.010758548,0.015259668,0.016348564,0.01452061
587,0.019165346,0.018439651,0.016001036,0.016394562,0.01493478,0.00928367,0.008524676,0.007805297,0.008402611,0.018298299,0.010421707,0.009670772,0.008847453,0.006989445,0.00790505,0.007463196,0.00790505,0.010164594,0.00572473,0.018058038,0.015266771,0.010359246,0.022299087,0.016956854,0.020411995,0.015706577,0.019320868,0.006312115,0.010540187,0.015706577,0.007135555,0.006834082,0.004695665,0.004695665,0.007698494,0.009291214,0.008290454,0.00614785,0.006411363,0.006132121,0.006335088,0.008057469,0.00887492,0.008263396,0.014241662,0.010742443,0.012095359,0.008943779,0.01073336,0.015194311,0.016315747,0.014465483
588,0.019176962,0.018424358,0.015971995,0.016371761,0.014907731,0.009261643,0.008486792,0.007782508,0.008362056,0.018494767,0.010375645,0.009635032,0.008830371,0.006967984,0.007870585,0.007427077,0.007870585,0.010131326,0.005743544,0.01811254,0.015306374,0.010314562,0.022271735,0.016965863,0.020559269,0.015646278,0.019258728,0.006267367,0.010649931,0.015646278,0.007091948,0.006805116,0.004670955,0.004670955,0.007590904,0.009181543,0.008174268,0.006100493,0.006352283,0.006088877,0.006264202,0.007991046,0.008733302,0.008178876,0.014074769,0.010649568,0.012007645,0.008852558,0.010648552,0.015007432,0.016191766,0.014288061
589,0.019180582,0.018415441,0.015955736,0.01634934,0.014883826,0.009250425,0.008450704,0.007756819,0.008329343,0.018656686,0.010326041,0.00959862,0.008811208,0.006946015,0.00783588,0.007389032,0.00783588,0.010100841,0.00575433,0.018113715,0.015345511,0.010272425,0.022247408,0.016978141,0.020774316,0.015579579,0.019187486,0.006218396,0.010775353,0.015579579,0.007035546,0.00676205,0.004648414,0.004648414,0.007477445,0.009057951,0.008053289,0.006043483,0.006287812,0.006044295,0.006199995,0.007916237,0.008591314,0.008086957,0.013928349,0.010559373,0.011919848,0.008762904,0.010561979,0.014859129,0.016085155,0.014141696
