,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,5760.0,98.0,242.0,302.0,668.0,0.004630613069258695,0.012508782752307513,0.015791353453577853,0.010976916425048019
1,288.76,5568.0,1585.0,842.0,978.0,648.0,0.08897124905560391,0.04692038645139937,0.05461744878541258,0.06350302809747195
2,290.62,5536.0,1601.0,852.0,987.0,640.0,0.09040541250446628,0.047769942182186186,0.05545457301463987,0.06454330923376411
3,292.47,5472.0,1615.0,868.0,992.0,648.0,0.09225981695198485,0.049240864077441965,0.05638189507669674,0.06596085870204119
4,294.32,5856.0,1630.0,863.0,997.0,662.0,0.08700211486862026,0.04572782424772926,0.052938717263634597,0.06188955212666138
5,296.16,5792.0,1642.0,865.0,1008.0,680.0,0.08859676458478381,0.04632233196234643,0.05410256859684907,0.06300722171465976
6,298.0,5824.0,1645.0,881.0,1015.0,652.0,0.08830259475239252,0.0469638472396913,0.05421436054689282,0.06316026751299221
7,299.84,6048.0,1661.0,878.0,1025.0,682.0,0.08583453445150331,0.04503687002142908,0.05269620165772654,0.06118920204355297
8,301.68,5920.0,1673.0,887.0,1031.0,682.0,0.08832918679232356,0.04648971807018592,0.054154964248287474,0.06299128970359898
9,303.51,6080.0,1699.0,896.0,1046.0,688.0,0.08734609655698153,0.045726555402453885,0.05350106495809417,0.06219123897250986
10,305.33,6016.0,1712.0,898.0,1055.0,678.0,0.0889667454553021,0.0463282473036948,0.05455213453932422,0.06328237576610704
11,307.16,6048.0,1736.0,898.0,1065.0,676.0,0.08974860923054186,0.04608520847396177,0.054786626047170446,0.06354014791722469
12,308.98,6112.0,1751.0,917.0,1072.0,708.0,0.08954921618001642,0.04654925861677876,0.054540857444478806,0.06354644408042466
13,310.8,6048.0,1791.0,922.0,1098.0,722.0,0.0925664096039498,0.04728777564515731,0.05645813188997604,0.06543743904636104
