,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,11847.48,182.47,161.32,166.61,1666.05,0.003967159699976867,0.0034045985855576566,0.0035453053607480884,0.0036390212154275374
1,288.76,41652.93,613.71,475.13,574.11,5978.7,0.0037384042414332066,0.002689972109838233,0.0034388089721940594,0.003289061774488499
2,290.62,46111.31,634.46,623.71,655.97,6581.18,0.003436406800859407,0.0033629408124996965,0.0035834071180331157,0.003460918243797406
3,292.47,46461.23,723.22,580.77,668.43,6530.87,0.004019371710491442,0.0030531938703005513,0.0036477544141484512,0.0035734399983134817
4,294.32,50428.94,828.81,607.02,782.12,7120.75,0.004289232555430508,0.0029032829368159604,0.003997470132899676,0.0037299952083820476
5,296.16,53252.18,684.88,696.89,720.92,7353.41,0.0031825721447992657,0.003253642901259126,0.003395843590495633,0.0032773528788513414
6,298.0,56456.65,801.35,723.8,749.65,7858.43,0.003595658173741407,0.003162793624448853,0.003307081807546371,0.0033551778685788768
7,299.84,59067.94,985.39,721.69,777.21,8493.79,0.004350758971134467,0.0029439224737587513,0.0032401210415793796,0.003511600828824199
8,301.68,63751.35,816.96,974.62,931.62,8656.88,0.0031824531483319054,0.003961776084852922,0.003749224478418799,0.003631151237201209
9,303.51,64959.59,887.66,785.8,989.53,8963.96,0.003436440496384826,0.002942305380128487,0.00393062412384441,0.0034364566667859074
10,305.33,70779.52,970.67,938.85,875.2,9993.15,0.0034318109751983687,0.003290140978388776,0.003006756462457581,0.003242902805348242
11,307.16,75460.74,1060.76,1011.8,1077.08,10672.86,0.0035383672258302136,0.0033339084899725634,0.0036065201377827633,0.00349293195119518
12,308.98,79421.38,1145.5,1006.65,954.58,11489.72,0.00363332095036275,0.003082394305425919,0.0028757918538460793,0.003197169036544916
13,310.8,82912.33,1340.8,1213.97,1177.73,12030.98,0.004181480787315721,0.0036994351080296213,0.003561696911882588,0.0038142042690759766
14,312.61,89933.34,1410.04,1081.67,1274.83,13559.54,0.003990532205744566,0.002839922396824875,0.003516755818547101,0.0034490701403721807
15,314.42,93310.64,1413.19,1234.06,1512.72,14052.33,0.0038234515638275817,0.0032184973869729227,0.004159582246696695,0.0037338437324990668
16,316.23,103653.26,1662.77,1490.02,1490.02,15418.42,0.0041176536555793085,0.003592458861803721,0.003592458861803721,0.00376752379306225
17,318.04,106714.42,1494.54,1472.23,1606.07,16729.89,0.0034252995889886106,0.003359418346086735,0.003754646743665714,0.0035131215595803535
18,319.84,107717.74,1616.65,1550.21,1572.36,16786.61,0.0037473076499516572,0.003552938331121996,0.0036177378556866697,0.0036393279455867746
19,321.64,117547.21,1819.18,1585.95,1562.63,19031.45,0.0038565437242515785,0.0032312883855064134,0.0031687708941908147,0.0034188676679829354
20,323.43,131896.2,2196.55,1808.92,1731.4,22275.57,0.0041835865513542465,0.0032574598201094603,0.003072248809078075,0.0035044317268472605
21,325.23,135850.81,2076.67,1971.52,1866.37,23658.23,0.0037195766823576743,0.00347566513198191,0.003231753581606146,0.0034756651319819104
22,327.02,146963.67,2086.32,1815.37,2167.61,25794.51,0.0033673934353208304,0.002786409012266594,0.0035416994834849887,0.0032318339770241373
23,328.81,155060.66,2451.33,2052.27,2223.3,29073.87,0.0038000653589608116,0.0029890634210824455,0.0033366443899476217,0.0033752577233302932
24,330.59,164690.24,2328.89,2472.65,2501.41,31626.97,0.0032458846058495447,0.003520962393977147,0.003575993259214694,0.0034476134196804622
25,332.37,173935.24,2665.9,1984.62,2695.52,34360.5,0.003584887241976237,0.0023505797050636474,0.0036385512116265287,0.0031913393862221377
26,334.15,194680.88,3113.37,2541.53,2668.6,40727.95,0.0037210481331827008,0.002795419986945714,0.003001106137866135,0.00317252475266485
27,335.93,205068.38,3180.1,2826.76,2601.9,43750.49,0.003542211964678892,0.002999237474743687,0.00265369707793939,0.003065048839120657
28,337.71,225110.25,2988.49,2820.59,2787.02,49696.18,0.0027921487437036424,0.002557109301513179,0.0025101154118506784,0.002619791152355833
29,339.48,249070.71,3483.51,3664.94,3918.94,58493.88,0.0029272311676309883,0.0031567782429327037,0.0034781416179348306,0.003187383676166174
30,341.25,271660.85,3842.19,3403.08,3622.63,64402.36,0.0029628075408197284,0.002453439615404849,0.0027081177781085835,0.0027081216447777203
31,343.02,275161.65,3903.52,3461.62,4124.48,69526.93,0.00287797283953568,0.002371890224761525,0.0031310255993467167,0.002793629554547974
32,344.78,311667.58,4435.86,4011.56,4513.01,80076.97,0.0028657788048356823,0.0024367694870853266,0.002943785094876786,0.002748777795599265
33,346.54,324487.08,4329.53,4253.58,4443.47,85755.13,0.0025390105123707417,0.002465251398457478,0.0026496637505442414,0.0025513085537908205
34,348.3,341627.99,4569.89,3993.85,4339.47,94239.56,0.00247680688718167,0.0019454521976290432,0.002264261321653727,0.002228840135488147
35,350.06,382451.58,5406.68,4756.25,5406.68,107239.29,0.0026876872618230817,0.0021517555857719123,0.0026876872618230817,0.002509043369806025
36,351.82,411112.88,5366.58,4716.09,5813.8,117007.8,0.0023198185184420727,0.0018212040651925004,0.0026626221830368764,0.002267881588890483
37,353.57,451175.75,6190.95,5554.89,5936.52,130094.66,0.0025068012607060734,0.0020625408048992153,0.002329092887642308,0.002299478317749199
38,355.32,505571.42,6790.07,6390.65,6834.45,146008.6,0.0024121389694133624,0.002163177227485517,0.002439801385183123,0.0023383725273606673
39,357.07,541952.16,7415.22,6316.67,7049.04,161944.83,0.00242839031374927,0.0017896207732560072,0.0022154690718050496,0.0021444933862701087
40,358.82,609720.74,7867.98,7678.39,8057.57,180868.65,0.002196874798909093,0.0020988875013007342,0.0022948620965174524,0.002196874798909093
41,360.57,655394.22,8385.19,7903.28,8481.57,197389.32,0.002133593336417992,0.0019018812684075015,0.0021799347883796672,0.002071803131068387
42,362.31,722279.63,9078.38,8828.97,9178.14,220275.34,0.0020387498939695315,0.0019299336284104873,0.0020822746550142783,0.002016986059131432
43,364.05,766001.75,9269.33,9022.81,9614.47,231043.01,0.0019123420462644114,0.0018109257562747242,0.0020543297889507677,0.0019258658638299675
44,365.79,819386.21,10424.5,9766.65,10019.67,250086.87,0.0020855339468644945,0.0018325321822390602,0.0019298408490864075,0.0019493023260633206
45,367.53,884225.87,10583.6,10896.42,10740.01,269960.0,0.001847653831019366,0.001959138876814343,0.0019033963539168545,0.0019033963539168547
46,369.27,918585.15,10864.43,9989.1,11585.29,277223.23,0.0018250497574078435,0.001524761938966053,0.0020723456078893185,0.0018073857680877383
47,371.0,969881.5,11723.96,11566.24,11776.53,290627.98,0.0019206888848026342,0.0018694436585596158,0.0019377695438414092,0.0019093006957345531
48,372.73,1063114.17,12758.7,11709.28,12924.39,317586.58,0.0018991444431271875,0.0015880768621622911,0.001948258036817105,0.0018118264473688612
49,374.46,1128698.68,13082.04,12198.87,13634.03,332515.69,0.0017957044251530724,0.0015491279652965508,0.0019498171555177829,0.0017648831819891354
50,376.19,1198680.41,13460.88,13074.71,14233.23,351306.92,0.0016916597874949185,0.0015901377216924763,0.0018947065480473084,0.0017255013524115678
51,377.92,1278792.97,14074.77,13572.1,14968.4,376332.42,0.0016136220414172944,0.0014897514963804963,0.00183383497467616,0.0016457361708246503
52,379.64,1374008.94,15598.27,15371.38,15541.55,399315.68,0.001745790217032196,0.0016937533527193055,0.0017327815743250375,0.0017241083813588464
53,381.37,1386928.45,15805.61,14979.53,16080.97,399821.34,0.0017743401351559029,0.0015866448459930633,0.0018369052315435157,0.001732630070897494
54,383.09,1480322.18,15873.28,16206.29,16594.79,421141.45,0.0015860308785818709,0.0016569211029289002,0.0017396238811001892,0.00166085862087032
55,384.81,1587692.91,17190.46,16639.48,17906.73,447172.25,0.001636875321151339,0.0015275162907084497,0.0017790412668033198,0.0016478109595543695
56,386.53,1719402.16,18626.86,17745.11,19067.73,479669.12,0.0016556282414073647,0.0014940237888916533,0.00173642955128046,0.0016286938605264926
57,388.25,1855524.07,19766.41,19218.87,20697.24,516007.4,0.0016042746329135162,0.001511284989760969,0.0017623590642531183,0.0016259728956425346
58,389.96,2025761.27,21155.93,20559.22,22349.34,557540.01,0.0015563948513109503,0.0014635708310043116,0.0017420413363273667,0.0015873356728808763
59,391.68,2220069.3,23326.02,22725.12,23981.56,604182.25,0.001595794111300327,0.001510499617789804,0.0016888444562427273,0.0015983793951109525
60,393.39,2370609.65,24658.35,24072.51,25457.21,639306.21,0.0015781832216513587,0.001500307103546173,0.0016843762363132264,0.0015876221871702527
61,395.1,2653310.66,27055.11,26312.42,28328.29,710965.88,0.0015244735879301587,0.0014362662335466573,0.0016756858561093263,0.0015454752258620473
62,396.81,2849142.98,29015.65,28301.73,30137.52,762361.96,0.0015228421642542059,0.0014438797121820782,0.0016469255434929967,0.0015378824733097603
63,398.52,3214839.15,32664.57,31505.18,33723.15,853815.63,0.0015280010119354355,0.00141435462749558,0.001631765741353787,0.0015247071269282675
64,400.23,3423205.25,34376.18,33061.51,35155.24,901863.45,0.0015040957686569669,0.0013830724284735084,0.0015758129626321279,0.0014876603865875344
65,401.93,3638677.83,35977.28,35246.04,37927.27,950424.21,0.001469578334495265,0.001406249476397019,0.001638456732836438,0.0015047615145762406
66,403.64,3716429.62,37168.14,35487.41,38272.62,958015.96,0.0015269350682264333,0.001384421123550784,0.0016205871132398276,0.001510647768339015
67,405.34,3768237.2,37338.29,36251.23,38425.36,958412.53,0.0015195078859779056,0.0014286001996395292,0.0016104164085873833,0.0015195081647349394
68,407.04,3904617.79,38878.82,37656.51,40148.14,976436.52,0.0015616718198786699,0.001463023848648816,0.0016641137886439408,0.001562936485723809
69,408.74,4024330.95,39760.08,38232.63,40732.09,994048.26,0.0015566417522714635,0.0014370341908468947,0.0016327553702493313,0.0015421437711225633
70,410.44,4133422.87,40852.33,38859.54,41848.73,1007721.1,0.0015779816044626824,0.0014260538849290372,0.0016539458454230065,0.0015526604449382418
71,412.14,4283265.54,42572.17,40534.38,43325.27,1031212.3,0.001614744337916155,0.0014648208251337082,0.0016701511254047872,0.0015832387628182166
72,413.84,4379637.12,43265.6,41666.37,44302.94,1043561.09,0.0016113363420024113,0.0014962673994666229,0.0016859757727597602,0.0015978598380762647
73,415.53,4475053.86,44223.73,41951.53,44896.97,1051523.2,0.0016332360750812235,0.0014732310542359677,0.0016806446571751674,0.0015957039288307863
74,417.23,4523215.88,44219.33,42214.94,45078.35,1050873.75,0.001616444189274421,0.001476800847458012,0.0016762910371868188,0.001589845357973084
75,418.92,4530888.12,44896.41,42477.08,45808.61,1042056.67,0.0016730631682644478,0.001504796887972446,0.0017365073866564668,0.0016381224809644535
76,420.61,4550975.04,44866.27,42783.05,46023.61,1034045.97,0.0016746854834064442,0.001530435422679933,0.0017548240982820796,0.0016533150014561525
77,422.3,4525558.98,44678.07,42783.33,45701.23,1013233.49,0.0016999704139600274,0.0015680345952801445,0.0017712157839002353,0.0016797402643801357
