WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_003,WMS_47_WATER_003,WMS_47_WATER_003
321.64,7183.44,6856.92,321.64,7183.44,6110.59,321.64,7183.44,6343.82,321.64,7183.44,6460.43,321.64,2550.01,1216.76,321.64,2550.01,637.5,321.64,2550.01,208.73,321.64,2550.01,1611.56,321.64,1512,35,321.64,1512,33,321.64,1512,32,321.64,1512,1096
323.43,8372.72,7597.47,323.43,8372.72,6977.27,323.43,8372.72,7132.32,323.43,8372.72,7468.26,323.43,2815.76,1317.72,323.43,2815.76,700.47,323.43,2815.76,225.4,323.43,2815.76,1754.65,323.43,1576,36,323.43,1576,35,323.43,1576,31,323.43,1576,1140
325.23,8622.11,8096.37,325.23,8622.11,7255.19,325.23,8622.11,7518.06,325.23,8622.11,7833.5,325.23,2934.55,1332.6,325.23,2934.55,712.37,325.23,2934.55,235.69,325.23,2934.55,1857.13,325.23,1584,36,325.23,1584,37,325.23,1584,38,325.23,1584,1176
327.02,9429.09,8399.47,327.02,9429.09,7965.95,327.02,9429.09,7993.05,327.02,9429.09,8453.66,327.02,3184.99,1397.19,327.02,3184.99,754.93,327.02,3184.99,261.03,327.02,3184.99,2088.27,327.02,1640,35,327.02,1640,36,327.02,1640,37,327.02,1640,1228
328.81,10033.34,9292.24,328.81,10033.34,8608.15,328.81,10033.34,8807.67,328.81,10033.34,9064.21,328.81,3313.02,1458.95,328.81,3313.02,775.06,328.81,3313.02,258.35,328.81,3313.02,2211.21,328.81,1696,36,328.81,1696,35,328.81,1696,38,328.81,1696,1300
330.59,10638.16,9833.11,330.59,10638.16,9258.08,330.59,10638.16,9171.82,330.59,10638.16,9631.85,330.59,3520.35,1552.15,330.59,3520.35,820.08,330.59,3520.35,272.03,330.59,3520.35,2488.24,330.59,1720,41,330.59,1720,39,330.59,1720,33,330.59,1720,1356
332.37,11433.75,10604.36,332.37,11433.75,9834.21,332.37,11433.75,10071.18,332.37,11433.75,10397.01,332.37,3914.94,1652.41,332.37,3914.94,889.76,332.37,3914.94,296.59,332.37,3914.94,2770.96,332.37,1784,45,332.37,1784,39,332.37,1784,44,332.37,1784,1436
334.15,12898.24,12008.71,334.15,12898.24,11055.64,334.15,12898.24,11214.48,334.15,12898.24,11722.79,334.15,4343.02,1748.02,334.15,4343.02,955.1,334.15,4343.02,322.12,334.15,4343.02,3153.65,334.15,1816,40,334.15,1816,37,334.15,1816,44,334.15,1816,1528
335.93,13876.81,12720.41,335.93,13876.81,11756.74,335.93,13876.81,11981.6,335.93,13876.81,12495.55,335.93,4381.65,1747.34,335.93,4381.65,935.76,335.93,4381.65,321.53,335.93,4381.65,3299.54,335.93,1912,45,335.93,1912,44,335.93,1912,49,335.93,1912,1620
337.71,14976.01,14102.97,337.71,14976.01,13028.46,337.71,14976.01,13263.51,337.71,14976.01,13867.92,337.71,4951.97,1883.28,337.71,4951.97,1022.9,337.71,4951.97,365.66,337.71,4951.97,3852.59,337.71,2016,46,337.71,2016,44,337.71,2016,42,337.71,2016,1744
