WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
328.81,14707.96,13339.78,328.81,14707.96,17102.28,328.81,14707.96,12883.72,328.81,14707.96,14137.88,328.81,5805.39,1960.46,328.81,5805.39,1071.41,328.81,5805.39,351.44,328.81,5805.39,2173.22,328.81,3312,42,43,41,992
330.59,15295.95,13973.37,330.59,15295.95,17768.61,330.59,15295.95,13685.85,330.59,15295.95,14720.92,330.59,6208.61,2128.21,330.59,6208.61,1128.11,330.59,6208.61,374.04,330.59,6208.61,2416.24,330.59,3328,45,48,48,1056
332.37,16469.35,14929.05,332.37,16469.35,19076,332.37,16469.35,14514.35,332.37,16469.35,15936.16,332.37,6813.01,2203.21,332.37,6813.01,1203.29,332.37,6813.01,415.22,332.37,6813.01,2694.7,332.37,3456,44,48,47,1120
334.15,18298.99,16901.15,334.15,18298.99,21285.28,334.15,18298.99,16456.38,334.15,18298.99,17727.14,334.15,7316.46,2360.73,334.15,7316.46,1297.5,334.15,7316.46,443.76,334.15,7316.46,3090.57,334.15,3616,48,49,53,1198
335.93,19594.57,17924.21,335.93,19594.57,22357.08,335.93,19594.57,17410.25,335.93,19594.57,18759.39,335.93,7592.49,2377.09,335.93,7592.49,1286.11,335.93,7592.49,439.05,335.93,7592.49,3228.58,335.93,3696,52,50,56,1276
337.71,21557.4,19677,337.71,21557.4,24512.3,337.71,21557.4,19072.59,337.71,21557.4,20684.35,337.71,8527.33,2619.38,337.71,8527.33,1405.29,337.71,8527.33,494.72,337.71,8527.33,3728.32,337.71,3808,54,52,53,1382
339.48,24311.97,22134.78,339.48,24311.97,27795.48,339.48,24311.97,21554.2,339.48,24311.97,23586.24,339.48,8897.95,2630.7,339.48,8897.95,1421.74,339.48,8897.95,510.18,339.48,8897.95,4042.76,339.48,3968,57,57,60,1482
341.25,25907.31,23711.78,341.25,25907.31,29639.72,341.25,25907.31,23053.12,341.25,25907.31,24809.54,341.25,9405.84,2684.58,341.25,9405.84,1499.06,341.25,9405.84,529.08,341.25,9405.84,4379.59,341.25,4144,60,58,61,1602
343.02,27692.93,24967.83,343.02,27692.93,31596.45,343.02,27692.93,24599.57,343.02,27692.93,26588.16,343.02,10318.4,2814.11,343.02,10318.4,1539.6,343.02,10318.4,570.98,343.02,10318.4,4945.08,343.02,4384,66,61,67,1730
344.78,30472.45,27695.21,344.78,30472.45,34406.87,344.78,30472.45,27155.19,344.78,30472.45,29160.98,344.78,10971.75,2815.39,344.78,10971.75,1604.36,344.78,10971.75,597.75,344.78,10971.75,5372.02,344.78,4576,66,63,62,1868
